"Date","Mort_rate"
2013-01-01,0.0414
2013-02-01,0.0411
2013-03-01,0.0402
2013-04-01,0.0402
2013-05-01,0.0402
2013-06-01,0.04
2013-07-01,0.0408
2013-08-01,0.0414
2013-09-01,0.0433
2013-10-01,0.044
2013-11-01,0.0439
2013-12-01,0.0439
2014-01-01,0.0438
2014-02-01,0.0432
2014-03-01,0.0416
2014-04-01,0.0402
2014-05-01,0.0402
2014-06-01,0.04
2014-07-01,0.0401
2014-08-01,0.0401
2014-09-01,0.0402
2014-10-01,0.04
2014-11-01,0.04
2014-12-01,0.0398
2015-01-01,0.0396
2015-02-01,0.0391
2015-03-01,0.0384
2015-04-01,0.0376
2015-05-01,0.0374
2015-06-01,0.0372
2015-07-01,0.0371
2015-08-01,0.0371
2015-09-01,0.0371
2015-10-01,0.0372
2015-11-01,0.0372
2015-12-01,0.0375
2016-01-01,0.0376
2016-02-01,0.0375
2016-03-01,0.0373
2016-04-01,0.037
2016-05-01,0.0367
2016-06-01,0.0366
2016-07-01,0.0367
2016-08-01,0.0368
2016-09-01,0.0367
2016-10-01,0.0368
2016-11-01,0.037
2016-12-01,0.0374
2017-01-01,0.0373
2017-02-01,0.0375
2017-03-01,0.0366
2017-04-01,0.0362
2017-05-01,0.0359
2017-06-01,0.036
2017-07-01,0.0372
2017-08-01,0.0382
2017-09-01,0.0389
2017-10-01,0.0398
2017-11-01,0.0404
2017-12-01,0.0407
2018-01-01,0.0414
2018-02-01,0.0426
2018-03-01,0.0427
2018-04-01,0.0427
2018-05-01,0.0435
2018-06-01,0.0432
2018-07-01,0.0442
2018-08-01,0.0443
2018-09-01,0.0443
2018-10-01,0.0448
2018-11-01,0.0438
2018-12-01,0.0459
2019-01-01,0.0459
2019-02-01,0.0452
2019-03-01,0.0444
2019-04-01,0.0433
2019-05-01,0.043
2019-06-01,0.0423
2019-07-01,0.0414
2019-08-01,0.0408
2019-09-01,0.0407
2019-10-01,0.0409
2019-11-01,0.0409
2019-12-01,0.0408
2020-01-01,0.0408
2020-02-01,0.0408
2020-03-01,0.039
2020-04-01,0.0395
2020-05-01,0.0386
2020-06-01,0.0377
2020-07-01,0.0364
2020-08-01,0.0357
2020-09-01,0.0351
2020-10-01,0.0345
2020-11-01,0.0342
2020-12-01,0.0334
2021-01-01,0.033
2021-02-01,0.0325
2021-03-01,0.0326
2021-04-01,0.0325
2021-05-01,0.0325
2021-06-01,0.0326
2021-07-01,0.032
2021-08-01,0.032
2021-09-01,0.0322
2021-10-01,0.0329
2021-11-01,0.034
2021-12-01,0.0345
