"Date","GEO","Age0_17","Age18_64","Age65_over"
2013-07-01,"Alberta",919150,2528800,443790
2013-07-01,"British Columbia",827910,2803810,746130
2013-07-01,"Calgary",298700,877330,135710
2013-07-01,"Edmonton",276130,804690,142900
2013-07-01,"Sudbury",31260,98660,26640
2013-07-01,"Guelph",31440,90910,21300
2013-07-01,"Hamilton",150810,437170,120410
2013-07-01,"Kelowna",33020,110290,36570
2013-07-01,"Kitchener",106820,303620,64730
2013-07-01,"London",99360,290510,76360
2013-07-01,"Montreal",784290,2443100,598070
2013-07-01,"Ontario",2760630,8132340,2019970
2013-07-01,"Oshawa",84040,223830,49400
2013-07-01,"Ottawa",195160,577660,132110
2013-07-01,"Quebec",1563570,4997280,1344030
2013-07-01,"Niagara",75090,233690,78790
2013-07-01,"Toronto",1248260,3704390,773750
2013-07-01,"Vancouver",431120,1543580,343870
2013-07-01,"Victoria",54810,209740,67210
2013-07-01,"Windsor",71990,200710,51940
2014-07-01,"Alberta",939460,2589700,462140
2014-07-01,"British Columbia",831100,2832540,779070
2014-07-01,"Calgary",306840,899410,142620
2014-07-01,"Edmonton",285780,832220,148670
2014-07-01,"Sudbury",31090,97770,27480
2014-07-01,"Guelph",31490,91840,22170
2014-07-01,"Hamilton",150550,439710,123720
2014-07-01,"Kelowna",33350,113560,38280
2014-07-01,"Kitchener",106910,306500,67350
2014-07-01,"London",99490,291630,78930
2014-07-01,"Montreal",787280,2457010,616480
2014-07-01,"Ontario",2756160,8188080,2096040
2014-07-01,"Oshawa",84280,226330,51500
2014-07-01,"Ottawa",196550,582360,137720
2014-07-01,"Quebec",1567800,5001970,1391100
2014-07-01,"Niagara",74740,234530,81400
2014-07-01,"Toronto",1246270,3747710,807840
2014-07-01,"Vancouver",432460,1560130,358760
2014-07-01,"Victoria",55540,211490,70370
2014-07-01,"Windsor",71600,200740,53730
2015-07-01,"Alberta",959930,2574600,478200
2015-07-01,"British Columbia",842490,2859290,810590
2015-07-01,"Calgary",316100,897770,147030
2015-07-01,"Edmonton",297300,839670,155990
2015-07-01,"Sudbury",31010,97060,28130
2015-07-01,"Guelph",32030,93160,22930
2015-07-01,"Hamilton",151830,440500,125910
2015-07-01,"Kelowna",34190,116140,39900
2015-07-01,"Kitchener",109050,309180,69630
2015-07-01,"London",101170,293330,81640
2015-07-01,"Montreal",793920,2459560,634360
2015-07-01,"Ontario",2779250,8229400,2161370
2015-07-01,"Oshawa",86050,228770,53420
2015-07-01,"Ottawa",200310,587010,143300
2015-07-01,"Quebec",1578320,4988990,1438170
2015-07-01,"Niagara",75170,236000,84090
2015-07-01,"Toronto",1255310,3778230,833750
2015-07-01,"Vancouver",437960,1574640,372250
2015-07-01,"Victoria",56700,213360,73470
2015-07-01,"Windsor",72260,202040,55480
2016-07-01,"Alberta",974290,2567180,498810
2016-07-01,"British Columbia",850350,2886670,840270
2016-07-01,"Calgary",321660,898460,154320
2016-07-01,"Edmonton",304680,840000,162540
2016-07-01,"Sudbury",31830,99270,29560
2016-07-01,"Guelph",32770,95240,23880
2016-07-01,"Hamilton",153050,443970,129370
2016-07-01,"Kelowna",34890,118100,41410
2016-07-01,"Kitchener",115450,325090,75820
2016-07-01,"London",102420,296370,84120
2016-07-01,"Montreal",826230,2536820,672950
2016-07-01,"Ontario",2793390,8300760,2231490
2016-07-01,"Oshawa",87320,231120,55000
2016-07-01,"Ottawa",207410,604050,151720
2016-07-01,"Quebec",1592890,4980960,1486790
2016-07-01,"Niagara",75320,236550,86390
2016-07-01,"Toronto",1253750,3815170,860780
2016-07-01,"Vancouver",440190,1591650,385030
2016-07-01,"Victoria",57790,215090,75970
2016-07-01,"Windsor",73070,204440,57280
2017-07-01,"Alberta",989420,2594480,525460
2017-07-01,"British Columbia",856310,2926900,871350
2017-07-01,"Calgary",327570,912690,166360
2017-07-01,"Edmonton",311950,851190,170420
2017-07-01,"Sudbury",31790,98960,30300
2017-07-01,"Guelph",32810,96300,24570
2017-07-01,"Hamilton",153640,447440,132860
2017-07-01,"Kelowna",35390,120650,42690
2017-07-01,"Kitchener",117810,332180,78600
2017-07-01,"London",105140,303770,87660
2017-07-01,"Montreal",834340,2567620,693290
2017-07-01,"Ontario",2809400,8398350,2305680
2017-07-01,"Oshawa",88750,233540,56870
2017-07-01,"Ottawa",211030,615480,157840
2017-07-01,"Quebec",1609060,5014390,1536980
2017-07-01,"Niagara",75310,238380,89030
2017-07-01,"Toronto",1255250,3870050,891330
2017-07-01,"Vancouver",441340,1613910,398940
2017-07-01,"Victoria",58500,217680,78790
2017-07-01,"Windsor",73300,206980,59140
2018-07-01,"Alberta",1004380,2618890,551180
2018-07-01,"British Columbia",861850,2979690,904960
2018-07-01,"Calgary",333690,925300,175950
2018-07-01,"Edmonton",318470,861140,178840
2018-07-01,"Sudbury",31430,98810,30970
2018-07-01,"Guelph",33000,98230,25380
2018-07-01,"Hamilton",153990,454110,136210
2018-07-01,"Kelowna",35660,122600,43970
2018-07-01,"Kitchener",119170,342980,81320
2018-07-01,"London",105970,309460,90350
2018-07-01,"Montreal",846920,2603840,715090
2018-07-01,"Ontario",2822430,8582780,2386470
2018-07-01,"Oshawa",89620,237360,58780
2018-07-01,"Ottawa",212860,629140,163580
2018-07-01,"Quebec",1628740,5039200,1589890
2018-07-01,"Niagara",75340,241010,91820
2018-07-01,"Toronto",1261280,3991840,925950
2018-07-01,"Vancouver",444150,1656190,414700
2018-07-01,"Victoria",59140,219700,81750
2018-07-01,"Windsor",71700,208950,59680
2019-07-01,"Alberta",1017810,2653920,576040
2019-07-01,"British Columbia",870340,3045070,934990
2019-07-01,"Calgary",340040,944320,185820
2019-07-01,"Edmonton",324900,877440,186960
2019-07-01,"Sudbury",31360,98740,31590
2019-07-01,"Guelph",33420,100030,26250
2019-07-01,"Hamilton",154930,461200,138860
2019-07-01,"Kelowna",36270,125920,45460
2019-07-01,"Kitchener",120460,352520,83640
2019-07-01,"London",107500,315390,92320
2019-07-01,"Montreal",855720,2619820,731910
2019-07-01,"Ontario",2833990,8726690,2445940
2019-07-01,"Oshawa",91940,242530,60430
2019-07-01,"Ottawa",216350,643970,168200
2019-07-01,"Quebec",1646860,5040590,1637210
2019-07-01,"Niagara",75820,244240,93850
2019-07-01,"Toronto",1257970,4084310,948060
2019-07-01,"Vancouver",448510,1702540,428820
2019-07-01,"Victoria",59850,224310,84240
2019-07-01,"Windsor",71760,210540,60990
