"Date","GEO","pop_nk","pop_1kid","pop_kids"
2013-07-01,"Alberta",451580,277170,372440
2013-07-01,"British Columbia",573700,333470,366350
2013-07-01,"Calgary",149370,95090,125640
2013-07-01,"Edmonton",142380,90060,114220
2013-07-01,"Sudbury",19540,13040,13410
2013-07-01,"Guelph",16230,10950,14060
2013-07-01,"Hamilton",77610,56310,68700
2013-07-01,"Kelowna",27280,12580,14020
2013-07-01,"Kitchener",52310,37080,47220
2013-07-01,"London",53540,36080,43420
2013-07-01,"Montreal",428260,287930,332390
2013-07-01,"Ontario",1443800,1033960,1236120
2013-07-01,"Oshawa",36250,29730,37760
2013-07-01,"Ottawa",101050,69140,84720
2013-07-01,"Quebec",986790,583470,657100
2013-07-01,"Niagara",49740,30600,33370
2013-07-01,"Toronto",561520,481320,576250
2013-07-01,"Vancouver",275540,185860,201880
2013-07-01,"Victoria",48310,24830,23350
2013-07-01,"Windsor",34580,25640,31840
2014-07-01,"Alberta",466360,283210,380770
2014-07-01,"British Columbia",588980,336340,368340
2014-07-01,"Calgary",154480,97700,129110
2014-07-01,"Edmonton",148320,92340,117950
2014-07-01,"Sudbury",19750,12760,13390
2014-07-01,"Guelph",16540,10990,14210
2014-07-01,"Hamilton",78890,56400,68950
2014-07-01,"Kelowna",28610,12630,14290
2014-07-01,"Kitchener",53370,37250,47430
2014-07-01,"London",54200,36280,43320
2014-07-01,"Montreal",433020,288240,334970
2014-07-01,"Ontario",1472780,1035100,1240380
2014-07-01,"Oshawa",36950,29910,38090
2014-07-01,"Ottawa",103170,69020,85790
2014-07-01,"Quebec",998980,580800,659500
2014-07-01,"Niagara",50660,30760,33150
2014-07-01,"Toronto",575980,482350,580710
2014-07-01,"Vancouver",282460,188200,203210
2014-07-01,"Victoria",49620,24770,23640
2014-07-01,"Windsor",35150,25470,31750
2015-07-01,"Alberta",463030,286310,387750
2015-07-01,"British Columbia",602150,340120,371280
2015-07-01,"Calgary",154180,99920,132540
2015-07-01,"Edmonton",149180,94390,122060
2015-07-01,"Sudbury",19740,12710,13250
2015-07-01,"Guelph",16990,11110,14330
2015-07-01,"Hamilton",79660,56310,68730
2015-07-01,"Kelowna",29510,13060,14510
2015-07-01,"Kitchener",54510,37440,48010
2015-07-01,"London",55150,36160,43870
2015-07-01,"Montreal",436790,287390,337120
2015-07-01,"Ontario",1496710,1036430,1247070
2015-07-01,"Oshawa",37660,30120,38710
2015-07-01,"Ottawa",104960,69010,87410
2015-07-01,"Quebec",1011870,576330,660520
2015-07-01,"Niagara",52070,30720,33070
2015-07-01,"Toronto",585460,484570,585190
2015-07-01,"Vancouver",288710,189940,204820
2015-07-01,"Victoria",50740,25180,23900
2015-07-01,"Windsor",35950,25170,32010
2016-07-01,"Alberta",458810,287840,394590
2016-07-01,"British Columbia",614490,342360,374410
2016-07-01,"Calgary",152980,100950,135510
2016-07-01,"Edmonton",147670,95330,125080
2016-07-01,"Sudbury",20500,13010,13510
2016-07-01,"Guelph",17440,11370,14710
2016-07-01,"Hamilton",80420,56650,69830
2016-07-01,"Kelowna",30350,13180,14740
2016-07-01,"Kitchener",58000,38880,50850
2016-07-01,"London",56450,36070,44400
2016-07-01,"Montreal",455380,294930,350200
2016-07-01,"Ontario",1523330,1040240,1255790
2016-07-01,"Oshawa",38020,30340,39300
2016-07-01,"Ottawa",109090,70720,90480
2016-07-01,"Quebec",1020980,572430,665350
2016-07-01,"Niagara",52710,30830,33180
2016-07-01,"Toronto",597810,485470,587180
2016-07-01,"Vancouver",294930,190650,206150
2016-07-01,"Victoria",51490,25300,24430
2016-07-01,"Windsor",36830,25270,32290
2017-07-01,"Alberta",458830,291770,403950
2017-07-01,"British Columbia",627140,346220,379260
2017-07-01,"Calgary",153790,102200,138990
2017-07-01,"Edmonton",148080,97180,129080
2017-07-01,"Sudbury",20480,12930,13510
2017-07-01,"Guelph",17600,11380,14910
2017-07-01,"Hamilton",81490,56960,70370
2017-07-01,"Kelowna",30890,13430,15120
2017-07-01,"Kitchener",59350,39530,51820
2017-07-01,"London",58180,36640,45630
2017-07-01,"Montreal",463930,294390,355860
2017-07-01,"Ontario",1552350,1046140,1267750
2017-07-01,"Oshawa",38660,30460,39640
2017-07-01,"Ottawa",112130,71030,92440
2017-07-01,"Quebec",1033790,571700,674740
2017-07-01,"Niagara",53610,31040,33290
2017-07-01,"Toronto",613220,487920,591640
2017-07-01,"Vancouver",302720,192050,207820
2017-07-01,"Victoria",52500,25650,24860
2017-07-01,"Windsor",37650,25260,32640
2018-07-01,"Alberta",460540,294720,412530
2018-07-01,"British Columbia",641280,350740,383760
2018-07-01,"Calgary",155140,104140,142480
2018-07-01,"Edmonton",148660,98250,132530
2018-07-01,"Sudbury",20400,12810,13490
2018-07-01,"Guelph",17830,11410,15230
2018-07-01,"Hamilton",82360,56960,71310
2018-07-01,"Kelowna",31080,13650,15350
2018-07-01,"Kitchener",61010,39960,52760
2018-07-01,"London",59300,36810,46170
2018-07-01,"Montreal",469150,296350,362840
2018-07-01,"Ontario",1591610,1057540,1283270
2018-07-01,"Oshawa",38790,31060,40440
2018-07-01,"Ottawa",114590,71870,94000
2018-07-01,"Quebec",1037730,572510,685410
2018-07-01,"Niagara",54510,30970,33540
2018-07-01,"Toronto",641080,496280,599520
2018-07-01,"Vancouver",313910,195400,210430
2018-07-01,"Victoria",53070,25900,25280
2018-07-01,"Windsor",37600,25010,32200
2019-07-01,"Alberta",466520,297240,420290
2019-07-01,"British Columbia",661690,354640,387830
2019-07-01,"Calgary",158840,105430,146110
2019-07-01,"Edmonton",151260,99680,135750
2019-07-01,"Sudbury",20660,12690,13340
2019-07-01,"Guelph",18330,11470,15420
2019-07-01,"Hamilton",84280,57540,71840
2019-07-01,"Kelowna",32050,13990,15570
2019-07-01,"Kitchener",63160,40140,53530
2019-07-01,"London",60430,37020,46760
2019-07-01,"Montreal",478080,295240,364910
2019-07-01,"Ontario",1631930,1061210,1292240
2019-07-01,"Oshawa",39560,31660,41360
2019-07-01,"Ottawa",117790,72600,95520
2019-07-01,"Quebec",1056170,568640,688390
2019-07-01,"Niagara",55480,31230,33700
2019-07-01,"Toronto",666440,497760,602450
2019-07-01,"Vancouver",327600,197600,212440
2019-07-01,"Victoria",54660,26200,25690
2019-07-01,"Windsor",38100,24850,32460
